,Name,Cloudiness,Country,Date,Humidity,Lat,Lon,Max Temp,Wind Speed
0,Naze,100,NG,1567709961,95,5.43,7.07,296.983,1.99
1,Boysun,0,UZ,1567709961,57,38.2,67.2,281.883,3.25
2,Boguchany,95,RU,1567709961,95,58.38,97.46,280.983,1.83
3,Bethel,90,US,1567709961,87,60.79,-161.76,284.15,7.2
4,Vestmannaeyjar,90,IS,1567709962,100,63.44,-20.27,283.15,7.7
5,Lorengau,100,PG,1567709916,84,-2.02,147.27,298.683,3.86
6,Iqaluit,75,CA,1567709825,61,63.75,-68.52,282.15,4.1
7,Bluff,0,AU,1567709722,28,-23.58,149.07,287.983,1.75
8,Severo-Kurilsk,100,RU,1567709835,93,50.68,156.12,283.483,7.32
9,Lamar,1,US,1567709767,15,38.09,-102.62,309.15,3.1
10,San Patricio,100,PY,1567709962,47,-26.98,-56.83,292.383,3.47
11,Kapaa,75,US,1567709962,66,22.08,-159.32,303.15,8.2
12,Ushuaia,0,AR,1567709962,81,-54.81,-68.31,278.15,7.2
13,Vaini,99,IN,1567709963,93,15.34,74.49,297.383,3.26
14,Havre-Saint-Pierre,1,CA,1567709963,71,50.23,-63.6,286.15,11.3
15,Ngerengere,20,TZ,1567709963,73,-6.76,38.13,297.15,5.1
16,Lata,97,IN,1567709908,95,30.78,78.62,281.583,0.67
17,Tazovskiy,99,RU,1567709963,78,67.47,78.7,283.583,5.8
18,Cidreira,57,BR,1567709824,53,-30.17,-50.22,288.583,5
19,North Platte,1,US,1567709842,58,41.12,-100.77,307.04,1.5
20,Grindavik,75,IS,1567709916,93,63.84,-22.43,285.15,3.6
21,Puerto Ayora,0,EC,1567709964,61,-0.74,-90.35,299.15,5.7
22,Vuktyl,36,RU,1567709965,85,63.86,57.31,284.683,2.28
23,Erzin,0,TR,1567709972,78,36.95,36.2,301.15,1.5
24,Chokurdakh,82,RU,1567709978,86,70.62,147.9,274.583,3.04
25,Guerrero Negro,0,MX,1567709848,77,27.97,-114.04,296.583,3.09
26,Urusha,6,RU,1567709979,95,54.05,122.9,283.051,0.53
27,Salalah,75,OM,1567709847,88,17.01,54.1,300.15,3.1
